date,district,crop,era5_sm_m3m3,downscaled_sm_m3m3,downscaled_sm_mm,VV,VH,delta_VV,NDVI,NDWI,EVI,TWI,slope
2017-02-05,Shamli,Wheat,0.3591620127360026,0.24434597012859413,219.9113731157347,-6.696995228805335,-12.232813475385822,0.1874459081448085,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-06,Shamli,Wheat,0.3517220815022786,0.24434597012859413,219.9113731157347,-6.696995228805335,-12.232813475385822,0.1874459081448085,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-07,Shamli,Wheat,0.3265279134114583,0.24434597012859413,219.9113731157347,-6.696995228805335,-12.232813475385822,0.1874459081448085,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-13,Shamli,Wheat,0.2566808064778645,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-14,Shamli,Wheat,0.2474892934163411,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-15,Shamli,Wheat,0.2388553619384765,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-16,Shamli,Wheat,0.2296384175618489,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-17,Shamli,Wheat,0.2212346394856771,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-18,Shamli,Wheat,0.2140318552652994,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-02-19,Shamli,Wheat,0.2065569559733072,0.18581179972570003,167.23061975313001,-7.554715532826518,-13.176272891140409,-0.6702743958763744,0.0848727717320122,-0.1497878232040926,0.2738266363112385,7.152134071974343,1.8458991781032863
2017-03-09,Shamli,Wheat,0.2161973317464192,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-10,Shamli,Wheat,0.3179817199707031,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-11,Shamli,Wheat,0.3597520192464192,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-12,Shamli,Wheat,0.3071619669596354,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-13,Shamli,Wheat,0.272925059000651,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-14,Shamli,Wheat,0.2490425109863281,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-15,Shamli,Wheat,0.2292162577311197,0.1800465905771637,162.04193151944733,-7.409402150440401,-12.991068809488857,-0.5249610134902571,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-21,Shamli,Wheat,0.1616490681966146,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-22,Shamli,Wheat,0.1554101308186849,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-23,Shamli,Wheat,0.1525688171386718,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-24,Shamli,Wheat,0.1503671010335286,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-25,Shamli,Wheat,0.1471837361653646,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-26,Shamli,Wheat,0.1444816589355468,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-03-27,Shamli,Wheat,0.142129898071289,0.1683308402281202,151.49775620530818,-7.40618515681494,-13.192809553832388,-0.5217440198647969,0.0896091830822403,-0.1749099091509834,0.2198106786767111,7.152134071974343,1.8458991781032863
2017-10-01,Shamli,Rice,0.2966880798339844,0.19165169126516154,57.495507379548464,-7.134731965179608,-13.037104260233072,-0.2502908282294642,0.1065709221328145,-0.1718731292026933,0.3324281537475182,7.152134071974343,1.8458991781032863
2017-10-02,Shamli,Rice,0.2859071095784505,0.19165169126516154,57.495507379548464,-7.134731965179608,-13.037104260233072,-0.2502908282294642,0.1065709221328145,-0.1718731292026933,0.3324281537475182,7.152134071974343,1.8458991781032863
2017-10-03,Shamli,Rice,0.2758375803629557,0.19165169126516154,57.495507379548464,-7.134731965179608,-13.037104260233072,-0.2502908282294642,0.1065709221328145,-0.1718731292026933,0.3324281537475182,7.152134071974343,1.8458991781032863
